Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,420.5,424.0,415.0,416.0,400.4532165527344,76429571
2020-08-04,421.5,425.5,418.5,425.5,409.59820556640625,41223445
2020-08-05,430.5,433.5,426.0,429.0,412.9674072265625,47223834
2020-08-06,437.5,438.0,431.0,435.0,418.74322509765625,41029627
2020-08-07,433.5,434.0,428.0,433.0,416.81787109375,36589460
2020-08-10,427.5,437.5,427.5,435.5,419.2244873046875,36067500
2020-08-11,432.0,435.0,429.0,429.0,412.9674072265625,34545313
2020-08-12,422.0,423.5,419.0,419.0,403.34112548828125,52143474
2020-08-13,428.0,429.0,424.5,429.0,412.9674072265625,44352335
2020-08-14,424.0,428.0,423.0,427.0,411.0422058105469,23419955
2020-08-17,427.0,435.0,425.5,435.0,418.74322509765625,34137731
2020-08-18,440.0,440.5,432.0,433.0,416.81787109375,41643160
2020-08-19,436.0,436.5,427.5,427.5,411.5234680175781,31486800
2020-08-20,427.0,427.5,401.0,415.0,399.49066162109375,75097235
2020-08-21,421.5,427.0,420.0,424.5,408.6355895996094,41609467
2020-08-24,427.5,434.5,425.0,428.0,412.0047607421875,48375406
2020-08-25,433.5,436.0,430.5,434.5,418.2618713378906,35977899
2020-08-26,435.5,442.0,435.0,442.0,425.4815979003906,39243340
2020-08-27,448.0,453.5,444.0,444.0,427.4068603515625,53072712
