,sentiment
2022-09-14,0.007471607890017932
2022-09-13,0.011636517507669523
2022-09-12,-0.00012396181975951408
2022-09-11,0.0029086678301337987
2022-09-10,0.011951043916486681
2022-09-09,-0.00778395552025417
2022-09-08,0.001015942482025633
2022-09-07,-0.003948017766079948
2022-09-06,-0.002588592341337142
2022-09-05,-0.0017405430494314227
2022-09-04,-0.004051565377532229
2022-09-03,0.008459944751381215
2022-09-02,0.0057137415484239595
2022-09-01,-0.003086980207009261
2022-08-31,0.012310304573914889
2022-08-30,0.007324005247048535
2022-08-29,0.005623576309794988
2022-08-28,0.009297912713472486
2022-08-27,0.016334223339092194
2022-08-26,0.008565957875642446
2022-08-25,0.0026219192448872575
2022-08-24,-0.0018727801097836616
2022-08-23,0.002356020942408377
2022-08-22,0.0060517263345649126
2022-08-21,-0.0021015195602974456
2022-08-20,0.00515562344853924
2022-08-19,0.01199580146948568
2022-08-18,0.012959928496946225
2022-08-17,0.01120199146514936
2022-08-16,0.0002763703362505758
2022-08-15,0.009303636876233437
2022-08-14,0.015100234313980734
2022-08-13,0.001937984496124031
